vertex,dist
0,0.000000
1,9.000000
2,12.000000
3,14.000000
4,17.000000
5,18.000000
6,27.000000
7,36.000000
8,37.000000
9,40.000000
10,1.000000
11,10.000000
12,14.000000
13,15.000000
14,24.000000
15,25.000000
16,33.000000
17,34.000000
18,38.000000
19,40.000000
20,7.000000
21,9.000000
22,14.000000
23,20.000000
24,29.000000
25,28.000000
26,35.000000
27,41.000000
28,44.000000
29,49.000000
30,9.000000
31,10.000000
32,12.000000
33,22.000000
34,27.000000
35,32.000000
36,35.000000
37,43.000000
38,45.000000
39,46.000000
40,13.000000
41,19.000000
42,21.000000
43,24.000000
44,30.000000
45,31.000000
46,38.000000
47,42.000000
48,44.000000
49,45.000000
50,15.000000
51,20.000000
52,27.000000
53,29.000000
54,33.000000
55,36.000000
56,42.000000
57,47.000000
58,52.000000
59,50.000000
60,22.000000
61,23.000000
62,31.000000
63,39.000000
64,37.000000
65,37.000000
66,44.000000
67,45.000000
68,52.000000
69,59.000000
70,29.000000
71,24.000000
72,29.000000
73,36.000000
74,42.000000
75,38.000000
76,41.000000
77,48.000000
78,52.000000
79,60.000000
80,32.000000
81,27.000000
82,30.000000
83,37.000000
84,44.000000
85,44.000000
86,42.000000
87,46.000000
88,49.000000
89,58.000000
90,35.000000
91,32.000000
92,31.000000
93,39.000000
94,49.000000
95,46.000000
96,48.000000
97,53.000000
98,50.000000
99,59.000000
