vertex,dist
0,0.000000
1,677.610000
2,966.806000
3,689.965000
4,592.037000
5,473.485000
6,1017.593000
7,672.387000
8,158.447000
9,323.929000
10,568.809000
11,809.996000
12,898.840000
13,1055.546000
14,1325.725000
15,1155.996000
16,496.907000
17,1038.401000
18,1167.845000
19,698.988000
20,915.722000
21,INF
22,1834.120000
23,1441.246000
24,1312.503000
25,1182.017000
26,942.107000
27,224.384000
28,823.836000
29,1037.099000
30,800.669000
31,1450.514000
32,1280.995000
33,1136.167000
34,1209.507000
35,1288.038000
36,1474.551000
37,INF
38,1963.272000
39,941.020000
40,1062.209000
41,1187.934000
42,1206.737000
43,1800.308000
44,706.483000
45,1599.523000
46,318.163000
47,530.009000
48,808.585000
49,871.721000
50,1228.632000
51,1161.721000
52,663.751000
53,529.997000
54,923.552000
55,1770.655000
56,1142.671000
57,1280.971000
58,1327.658000
59,1604.620000
60,1335.296000
61,1669.571000
62,1469.635000
63,1567.329000
64,1382.453000
65,1485.481000
66,1273.593000
67,1895.686000
68,INF
69,1976.450000
70,1308.933000
71,1740.650000
72,1049.407000
73,1761.960000
74,INF
75,1153.751000
76,1595.125000
77,1164.360000
78,845.513000
79,1031.494000
80,1101.717000
81,1442.364000
82,1862.016000
83,749.122000
84,868.892000
85,928.415000
86,2115.890000
87,1939.795000
88,1659.472000
89,1559.775000
90,1468.736000
91,2008.700000
92,1903.544000
93,1240.546000
94,2230.550000
95,2135.643000
96,1408.848000
97,1118.161000
98,1352.095000
99,949.687000
100,1867.032000
101,875.173000
102,1212.028000
103,1372.868000
104,877.085000
105,1893.179000
106,1696.827000
107,1819.140000
108,2125.427000
109,2221.712000
110,1643.664000
111,2104.807000
112,INF
113,INF
114,1326.366000
115,1365.481000
116,1480.971000
117,1478.110000
118,484.332000
119,1109.189000
120,646.696000
121,886.615000
122,824.030000
123,1839.471000
124,1923.692000
125,977.437000
126,1039.922000
127,INF
128,INF
129,1629.452000
130,1292.032000
131,1415.525000
132,1696.594000
133,1560.418000
134,1175.880000
135,2028.626000
136,1922.677000
137,2538.513000
138,2750.566000
139,3690.117000
140,2238.546000
141,2236.141000
142,1391.177000
143,1519.576000
144,1569.755000
145,1593.861000
146,1508.991000
147,1083.157000
148,985.387000
149,287.029000
150,197.043000
151,1225.446000
152,1344.799000
153,1395.247000
154,1577.873000
155,1681.228000
156,1744.809000
157,2510.738000
158,2859.781000
159,1546.632000
160,2120.108000
161,2206.992000
162,2014.570000
163,2162.199000
164,INF
165,1732.111000
166,1623.970000
167,1832.735000
168,149.271000
169,2586.513000
170,1253.190000
171,1222.243000
172,592.825000
173,951.865000
174,702.616000
175,869.455000
176,510.008000
177,682.029000
178,1519.040000
179,436.096000
180,767.422000
181,1544.521000
182,1514.844000
183,1898.701000
184,1675.944000
185,917.039000
186,69.775000
187,378.471000
188,421.241000
189,INF
190,INF
191,2456.524000
192,1790.198000
193,2031.003000
194,2008.713000
195,1737.970000
196,2238.515000
197,2495.621000
198,2174.299000
199,121.076000
200,161.235000
201,132.064000
202,411.775000
203,423.038000
204,941.162000
205,891.994000
206,1055.616000
207,1039.833000
208,1016.282000
209,1204.013000
210,877.754000
211,834.105000
212,1301.420000
213,355.991000
214,244.783000
215,280.492000
216,618.693000
217,635.223000
218,1057.496000
219,INF
220,INF
221,INF
222,669.793000
223,1961.971000
224,572.419000
225,992.532000
226,1737.170000
227,1582.315000
228,1336.310000
229,1512.414000
230,1614.758000
231,1377.085000
232,1507.158000
233,599.604000
234,1645.932000
235,1813.353000
236,1725.692000
237,1318.980000
238,1420.152000
239,1262.173000
240,1594.510000
241,1328.151000
242,1244.663000
243,868.423000
244,1553.592000
245,902.010000
246,1492.872000
247,1561.155000
248,1511.554000
249,1717.888000
250,1221.320000
251,1621.972000
252,1580.175000
253,815.761000
254,2061.826000
255,1477.619000
256,362.825000
257,1339.990000
258,1570.335000
259,INF
260,1316.813000
261,1316.682000
262,1255.332000
263,1541.993000
264,1630.238000
265,1705.636000
266,889.633000
267,2844.834000
268,493.974000
269,535.686000
270,1143.746000
271,742.602000
272,523.356000
273,650.792000
274,630.650000
275,1406.712000
276,1441.203000
277,1488.532000
278,1066.260000
