u,v,w
231,230,58.260
231,273,17.912
232,273,27.991
233,266,32.278
233,258,28.778
233,268,25.873
234,235,44.288
234,260,96.189
234,238,102.848
235,250,66.907
235,234,44.288
235,237,71.940
236,248,38.517
236,252,85.068
236,241,67.174
236,243,22.990
237,235,71.940
238,234,102.848
239,287,7.003
239,240,42.387
239,257,35.088
240,239,42.387
240,256,31.016
240,255,33.090
241,242,51.296
241,236,67.174
241,244,17.879
242,224,405.758
242,176,107.026
242,241,51.296
243,244,63.880
243,236,22.990
243,245,14.466
244,243,63.880
244,241,17.879
244,247,6.332
245,246,48.533
245,288,19.646
245,243,14.466
246,247,79.146
246,245,48.533
247,246,79.146
247,244,6.332
248,253,18.762
248,236,38.517
248,249,22.751
249,248,22.751
250,253,10.205
250,235,66.907
250,251,39.397
251,252,36.326
251,250,39.397
251,253,44.169
252,287,30.544
252,236,85.068
252,271,22.608
252,251,36.326
253,248,18.762
253,250,10.205
253,251,44.169
254,287,27.439
255,240,33.090
256,240,31.016
257,239,35.088
258,260,28.760
258,233,28.778
258,259,22.931
259,258,22.931
260,258,28.760
260,234,96.189
260,261,78.060
261,260,78.060
262,52,49.616
262,263,42.775
263,262,42.775
264,265,52.916
264,225,115.710
265,264,52.916
266,233,32.278
267,230,35.095
267,268,19.797
267,269,20.966
268,267,19.797
268,233,25.873
268,273,34.601
269,267,20.966
270,272,33.188
271,252,22.608
272,231,7.448
272,273,10.603
272,270,33.188
273,272,10.603
273,232,27.991
273,231,17.912
273,268,34.601
274,9,110.384
274,14,191.706
275,208,19.492
275,216,100.287
276,193,49.290
276,277,51.469
277,108,414.867
278,90,10.940
279,220,15.552
280,298,54.676
280,186,146.529
281,87,21.983
281,180,35.439
282,183,42.067
282,283,37.133
282,79,75.220
283,318,119.803
283,59,89.347
284,88,118.872
284,181,45.268
285,167,176.618
285,8,68.392
286,285,166.539
287,239,7.003
287,252,30.544
287,254,27.439
288,245,19.646
289,160,42.378
290,202,23.263
290,291,30.534
291,37,176.621
292,35,7.782
292,202,28.442
293,177,8.976
294,281,55.979
295,296,15.040
296,295,15.040
296,294,73.704
297,298,13.414
298,296,32.616
298,297,13.414
299,300,10.376
300,299,10.376
300,61,100.127
301,302,42.294
301,301,58.947
302,301,42.294
302,97,38.927
303,304,10.729
304,303,10.729
304,2,51.842
305,129,10.652
306,175,7.011
307,308,14.615
308,310,27.734
308,307,14.615
309,310,14.634
310,309,14.634
311,230,25.480
311,223,49.560
311,312,40.477
312,225,5.743
312,224,126.767
312,311,40.477
313,314,12.901
314,313,12.901
314,58,117.073
315,178,10.875
316,194,21.633
317,318,50.241
318,91,15.404
318,317,50.241
319,221,27.432
320,321,23.924
321,322,14.835
321,323,20.171
321,320,23.924
322,321,14.835
323,185,56.756
323,321,20.171
323,206,130.782
324,187,9.148
325,151,61.890
326,327,14.177
327,155,109.968
327,326,14.177
328,70,51.659
328,153,32.717
329,328,0.577
330,184,35.786
