u,v,w
245,121,15.395
245,73,859.950
246,317,44.008
246,397,157.309
247,372,122.551
247,195,176.815
248,83,84.803
248,226,225.616
249,289,6.153
250,272,35.464
250,170,31.870
251,265,83.664
252,280,132.149
253,122,8.269
254,36,41.469
254,31,29.786
255,283,30.783
256,187,15.646
256,3,327.140
257,98,12.105
258,133,17.974
259,236,216.575
260,14,8.912
261,19,77.179
261,241,11.469
262,242,10.669
263,63,25.336
263,244,11.599
264,240,35.728
265,249,12.252
266,75,264.118
267,139,845.283
267,138,94.268
268,272,29.382
268,303,139.332
269,233,63.918
270,273,69.728
270,7,54.898
271,303,97.019
271,269,15.364
272,53,6.641
273,271,91.810
274,7,41.737
274,273,20.142
275,252,181.763
275,276,39.266
276,277,47.329
277,76,106.593
277,252,91.643
278,102,145.768
278,279,114.587
279,77,83.329
280,419,42.120
281,38,117.279
281,194,162.720
282,283,59.006
282,31,12.764
283,184,179.188
284,127,41.869
285,127,13.503
285,286,7.014
286,285,7.014
287,66,95.764
288,100,10.749
288,251,116.556
289,422,19.818
289,420,15.251
290,82,87.745
291,162,55.235
292,293,6.336
293,96,50.999
293,292,6.336
294,143,17.199
295,115,56.727
295,103,48.846
296,191,234.040
297,302,41.559
298,373,6.984
298,15,125.945
299,243,79.602
300,258,42.388
300,129,56.368
301,32,29.764
301,57,29.740
302,297,41.559
302,6,227.433
303,120,13.390
304,160,26.610
304,161,113.494
305,61,30.473
305,315,29.322
306,34,8.604
307,213,29.785
308,176,185.581
309,382,36.631
310,215,11.301
311,217,13.642
312,173,8.852
313,214,10.259
314,83,16.178
315,305,29.322
316,216,7.023
317,247,24.275
317,318,10.694
318,317,10.694
319,328,14.853
319,394,16.805
319,2,32.864
320,321,8.420
321,320,8.420
321,346,23.177
322,323,6.618
322,263,51.491
323,322,6.618
324,325,8.097
325,324,8.097
325,58,93.113
326,34,29.284
326,327,57.453
327,326,57.453
328,319,14.853
328,423,16.796
328,48,110.504
329,209,26.503
330,225,11.092
330,356,4.795
331,375,5.715
331,6,115.139
331,51,28.989
332,6,10.520
333,334,11.150
333,137,800.990
334,333,11.150
335,336,6.965
336,335,6.965
336,16,19.441
337,218,8.290
338,339,15.231
338,130,24.597
339,338,15.231
340,338,44.304
340,341,9.400
341,340,9.400
342,343,7.910
343,342,7.910
343,62,119.068
344,321,20.722
344,345,7.044
345,344,7.044
346,55,53.013
346,347,47.707
347,346,47.707
348,349,7.492
348,66,91.348
349,348,7.492
350,65,41.039
350,351,15.328
351,350,15.328
352,64,16.993
352,353,7.051
353,352,7.051
354,330,15.226
354,355,7.364
355,354,7.364
356,330,4.795
357,225,40.055
358,298,28.318
358,359,5.006
359,358,5.006
360,336,36.132
360,361,9.372
361,360,9.372
362,214,23.210
362,363,18.263
363,362,18.263
364,365,6.858
365,364,6.858
365,401,36.031
366,231,27.807
367,409,43.391
367,369,7.124
368,144,10.942
369,367,7.124
370,371,10.555
370,88,74.385
371,370,10.555
372,247,122.551
373,298,6.984
374,376,56.543
374,78,115.341
375,331,5.715
376,374,56.543
377,379,9.069
378,380,8.612
379,20,5.545
379,377,9.069
380,378,8.612
380,3,35.082
381,382,14.302
382,381,14.302
382,213,91.580
383,233,12.198
384,385,12.299
385,384,12.299
385,28,141.956
386,387,10.372
387,17,49.720
387,386,10.372
388,389,7.070
389,388,7.070
389,284,332.662
390,391,14.579
391,390,14.579
391,291,252.381
392,393,7.055
392,221,40.482
393,286,71.339
393,392,7.055
394,319,16.805
395,396,7.972
396,50,58.112
396,395,7.972
397,246,157.309
398,399,70.908
399,231,30.290
399,398,70.908
400,401,13.609
401,400,13.609
401,142,84.706
402,403,8.809
403,402,8.809
403,44,298.654
404,408,8.135
405,370,4.824
405,406,7.702
406,405,7.702
407,409,7.120
408,404,8.135
408,144,32.553
409,405,27.167
409,407,7.120
410,411,6.927
411,410,6.927
411,24,59.719
412,424,7.021
412,302,263.819
413,90,8.345
414,415,14.321
415,414,14.321
415,26,98.586
416,417,14.974
417,416,14.974
417,35,128.473
418,419,13.976
419,418,13.976
419,123,85.027
420,422,14.002
421,117,6.610
421,155,58.227
422,288,112.424
423,328,16.796
424,412,7.021
425,426,12.204
426,425,12.204
426,168,13.153
