vertex,dist
0,0.000000
1,12.000000
2,13.000000
3,9.000000
4,11.000000
5,5.000000
6,INF
7,16.000000
8,3.000000
9,13.000000
10,11.000000
11,16.000000
12,17.000000
13,10.000000
14,14.000000
15,15.000000
16,18.000000
17,6.000000
18,13.000000
19,14.000000
20,8.000000
21,4.000000
22,12.000000
23,9.000000
24,14.000000
25,7.000000
26,7.000000
27,5.000000
28,12.000000
29,23.000000
